Station name ger: Rossalm
Station number: 42830SF
Local ETRS89/UTM-Zone 32 X: 737994
Local ETRS89/UTM-Zone 32 Y: 5173329
Global geogr. longitude: 12,111498
Global geogr. latitude: 46,671192
Height m a.s.l.: 2340
Heighthistory m a.s.l.: [01/01/1950;00:00:00	2340.0]
Parameter name: HS
Parameter type: Schneehöhe
Time series name: LWD_OP/42830SF/HS/Month.Mean
Time series unit: cm
Datum	Uhrzeit	Wert[cm]	Status des Werts
01/01/1998	00:00:00	---	255 (255)
01/02/1998	00:00:00	---	255 (255)
01/03/1998	00:00:00	---	255 (255)
01/04/1998	00:00:00	---	255 (255)
01/05/1998	00:00:00	---	255 (255)
01/06/1998	00:00:00	---	255 (255)
01/07/1998	00:00:00	---	255 (255)
01/08/1998	00:00:00	---	255 (255)
01/09/1998	00:00:00	---	255 (255)
01/10/1998	00:00:00	---	255 (255)
01/11/1998	00:00:00	---	255 (255)
01/12/1998	00:00:00	---	255 (255)
01/01/1999	00:00:00	---	255 (255)
01/02/1999	00:00:00	---	255 (255)
01/03/1999	00:00:00	---	255 (255)
01/04/1999	00:00:00	---	255 (255)
01/05/1999	00:00:00	---	255 (255)
01/06/1999	00:00:00	---	255 (255)
01/07/1999	00:00:00	---	255 (255)
01/08/1999	00:00:00	---	255 (255)
01/09/1999	00:00:00	---	255 (255)
01/10/1999	00:00:00	---	255 (255)
01/11/1999	00:00:00	---	255 (255)
01/12/1999	00:00:00	---	255 (255)
01/01/2000	00:00:00	---	255 (255)
01/02/2000	00:00:00	---	255 (255)
01/03/2000	00:00:00	---	255 (255)
01/04/2000	00:00:00	---	255 (255)
01/05/2000	00:00:00	---	255 (255)
01/06/2000	00:00:00	---	255 (255)
01/07/2000	00:00:00	---	255 (255)
01/08/2000	00:00:00	---	255 (255)
01/09/2000	00:00:00	---	255 (255)
01/10/2000	00:00:00	---	255 (255)
01/11/2000	00:00:00	---	255 (255)
01/12/2000	00:00:00	---	255 (255)
01/01/2001	00:00:00	---	255 (255)
01/02/2001	00:00:00	---	255 (255)
01/03/2001	00:00:00	---	255 (255)
01/04/2001	00:00:00	---	255 (255)
01/05/2001	00:00:00	---	255 (255)
01/06/2001	00:00:00	---	255 (255)
01/07/2001	00:00:00	---	255 (255)
