Station name ger: Piz la Ila
Station number: 61690SF
Local ETRS89/UTM-Zone 32 X: 722543
Local ETRS89/UTM-Zone 32 Y: 5160892
Global geogr. longitude: 11,903781
Global geogr. latitude: 46,564724
Height m a.s.l.: 2050
Heighthistory m a.s.l.: [01/01/1950;00:00:00	2050.0]
Parameter name: HS
Parameter type: Schneehöhe
Time series name: LWD_GT/61690SF/HS/Month.Mean
Time series unit: cm
Datum	Uhrzeit	Wert[cm]	Status des Werts
01/01/1998	00:00:00	---	255 (255)
01/02/1998	00:00:00	---	255 (255)
01/03/1998	00:00:00	---	255 (255)
01/04/1998	00:00:00	---	255 (255)
01/05/1998	00:00:00	---	255 (255)
01/06/1998	00:00:00	---	255 (255)
01/07/1998	00:00:00	---	255 (255)
01/08/1998	00:00:00	---	255 (255)
01/09/1998	00:00:00	---	255 (255)
01/10/1998	00:00:00	---	255 (255)
01/11/1998	00:00:00	---	255 (255)
01/12/1998	00:00:00	10,4	200 (Unbekannt)
01/01/1999	00:00:00	30,9	40 (Gut)
01/02/1999	00:00:00	46,6	40 (Gut)
01/03/1999	00:00:00	66,8	40 (Gut)
01/04/1999	00:00:00	57,4	40 (Gut)
01/05/1999	00:00:00	4,3	40 (Gut)
01/06/1999	00:00:00	0,0	40 (Gut)
01/07/1999	00:00:00	0,0	40 (Gut)
01/08/1999	00:00:00	0,0	40 (Gut)
01/09/1999	00:00:00	0,0	40 (Gut)
01/10/1999	00:00:00	0,5	40 (Gut)
01/11/1999	00:00:00	16,4	40 (Gut)
01/12/1999	00:00:00	38,3	40 (Gut)
01/01/2000	00:00:00	49,9	40 (Gut)
01/02/2000	00:00:00	61,4	40 (Gut)
01/03/2000	00:00:00	63,7	40 (Gut)
01/04/2000	00:00:00	51,9	40 (Gut)
01/05/2000	00:00:00	0,0	40 (Gut)
01/06/2000	00:00:00	0,0	40 (Gut)
01/07/2000	00:00:00	0,0	40 (Gut)
01/08/2000	00:00:00	0,0	40 (Gut)
01/09/2000	00:00:00	0,0	40 (Gut)
01/10/2000	00:00:00	6,1	40 (Gut)
01/11/2000	00:00:00	35,4	40 (Gut)
01/12/2000	00:00:00	54,2	40 (Gut)
01/01/2001	00:00:00	87,8	40 (Gut)
01/02/2001	00:00:00	97,0	40 (Gut)
