Station name ger: Wolkenstein
Station number: 73500MS
Local ETRS89/UTM-Zone 32 X: 712245
Local ETRS89/UTM-Zone 32 Y: 5158389
Global geogr. longitude: 11,76843
Global geogr. latitude: 46,545555
Height m a.s.l.: 1594
Heighthistory m a.s.l.: [10/08/2010;23:00:00	1594.0; 01/01/1990;00:00:00	1570.0]
Parameter name: N
Parameter type: Niederschlag
Time series name: Meteo_UE/73500MS/N/Month.Total
Time series unit: mm
Datum	Uhrzeit	Wert[mm]	Status des Werts
01/01/1998	00:00:00	21,8	40 (Gut)
01/02/1998	00:00:00	3,2	40 (Gut)
01/03/1998	00:00:00	6,2	40 (Gut)
01/04/1998	00:00:00	105,0	40 (Gut)
01/05/1998	00:00:00	49,8	40 (Gut)
01/06/1998	00:00:00	162,8	40 (Gut)
01/07/1998	00:00:00	115,8	40 (Gut)
01/08/1998	00:00:00	79,0	40 (Gut)
01/09/1998	00:00:00	100,2	40 (Gut)
01/10/1998	00:00:00	150,8	40 (Gut)
01/11/1998	00:00:00	23,2	40 (Gut)
01/12/1998	00:00:00	1,8	40 (Gut)
01/01/1999	00:00:00	17,6	40 (Gut)
01/02/1999	00:00:00	13,2	40 (Gut)
01/03/1999	00:00:00	49,4	40 (Gut)
01/04/1999	00:00:00	76,6	40 (Gut)
01/05/1999	00:00:00	137,2	40 (Gut)
01/06/1999	00:00:00	148,0	40 (Gut)
01/07/1999	00:00:00	121,2	40 (Gut)
01/08/1999	00:00:00	152,6	40 (Gut)
01/09/1999	00:00:00	70,0	40 (Gut)
01/10/1999	00:00:00	96,6	40 (Gut)
01/11/1999	00:00:00	33,8	40 (Gut)
01/12/1999	00:00:00	29,8	40 (Gut)
01/01/2000	00:00:00	10,2	40 (Gut)
01/02/2000	00:00:00	7,4	40 (Gut)
01/03/2000	00:00:00	93,4	40 (Gut)
01/04/2000	00:00:00	47,4	40 (Gut)
01/05/2000	00:00:00	100,0	40 (Gut)
01/06/2000	00:00:00	120,0	40 (Gut)
01/07/2000	00:00:00	113,0	40 (Gut)
01/08/2000	00:00:00	83,0	40 (Gut)
01/09/2000	00:00:00	61,0	40 (Gut)
01/10/2000	00:00:00	196,8	40 (Gut)
01/11/2000	00:00:00	223,6	40 (Gut)
01/12/2000	00:00:00	33,0	80 (Ersatzwert)
01/01/2001	00:00:00	---	255 (255)
01/02/2001	00:00:00	---	255 (255)
01/03/2001	00:00:00	---	255 (255)
01/04/2001	00:00:00	---	255 (255)
01/05/2001	00:00:00	---	255 (255)
01/06/2001	00:00:00	---	255 (255)
01/07/2001	00:00:00	---	255 (255)
01/08/2001	00:00:00	---	255 (255)
01/09/2001	00:00:00	---	255 (255)
01/10/2001	00:00:00	---	255 (255)
01/11/2001	00:00:00	---	255 (255)
01/12/2001	00:00:00	---	255 (255)
01/01/2002	00:00:00	3,4	40 (Gut)
01/02/2002	00:00:00	12,6	40 (Gut)
01/03/2002	00:00:00	40,8	40 (Gut)
01/04/2002	00:00:00	80,8	40 (Gut)
01/05/2002	00:00:00	169,2	80 (Ersatzwert)
01/06/2002	00:00:00	140,0	80 (Ersatzwert)
01/07/2002	00:00:00	101,8	80 (Ersatzwert)
01/08/2002	00:00:00	95,2	40 (Gut)
01/09/2002	00:00:00	81,0	40 (Gut)
01/10/2002	00:00:00	48,2	40 (Gut)
01/11/2002	00:00:00	211,4	80 (Ersatzwert)
01/12/2002	00:00:00	20,0	80 (Ersatzwert)
01/01/2003	00:00:00	10,4	40 (Gut)
01/02/2003	00:00:00	2,8	40 (Gut)
01/03/2003	00:00:00	1,2	40 (Gut)
01/04/2003	00:00:00	34,2	40 (Gut)
01/05/2003	00:00:00	107,0	40 (Gut)
01/06/2003	00:00:00	105,6	40 (Gut)
01/07/2003	00:00:00	119,8	40 (Gut)
01/08/2003	00:00:00	104,2	40 (Gut)
01/09/2003	00:00:00	22,6	40 (Gut)
01/10/2003	00:00:00	22,8	80 (Ersatzwert)
01/11/2003	00:00:00	120,0	40 (Gut)
01/12/2003	00:00:00	31,8	80 (Ersatzwert)
01/01/2004	00:00:00	---	255 (255)
01/02/2004	00:00:00	---	255 (255)
01/03/2004	00:00:00	---	255 (255)
01/04/2004	00:00:00	---	255 (255)
01/05/2004	00:00:00	---	255 (255)
01/06/2004	00:00:00	---	255 (255)
01/07/2004	00:00:00	---	255 (255)
01/08/2004	00:00:00	---	255 (255)
01/09/2004	00:00:00	---	255 (255)
01/10/2004	00:00:00	---	255 (255)
01/11/2004	00:00:00	---	255 (255)
01/12/2004	00:00:00	---	255 (255)
01/01/2005	00:00:00	11,6	40 (Gut)
01/02/2005	00:00:00	12,2	40 (Gut)
01/03/2005	00:00:00	32,8	40 (Gut)
01/04/2005	00:00:00	60,8	40 (Gut)
01/05/2005	00:00:00	88,0	40 (Gut)
01/06/2005	00:00:00	55,6	40 (Gut)
01/07/2005	00:00:00	111,8	80 (Ersatzwert)
01/08/2005	00:00:00	119,4	40 (Gut)
01/09/2005	00:00:00	101,0	40 (Gut)
01/10/2005	00:00:00	110,2	40 (Gut)
01/11/2005	00:00:00	23,8	40 (Gut)
01/12/2005	00:00:00	20,6	40 (Gut)
01/01/2006	00:00:00	9,4	40 (Gut)
01/02/2006	00:00:00	15,4	40 (Gut)
01/03/2006	00:00:00	44,0	40 (Gut)
01/04/2006	00:00:00	90,0	40 (Gut)
01/05/2006	00:00:00	70,2	40 (Gut)
01/06/2006	00:00:00	58,6	40 (Gut)
01/07/2006	00:00:00	152,4	40 (Gut)
01/08/2006	00:00:00	179,2	40 (Gut)
01/09/2006	00:00:00	49,0	40 (Gut)
01/10/2006	00:00:00	28,0	40 (Gut)
01/11/2006	00:00:00	6,6	40 (Gut)
01/12/2006	00:00:00	29,8	40 (Gut)
01/01/2007	00:00:00	41,8	40 (Gut)
01/02/2007	00:00:00	24,2	40 (Gut)
01/03/2007	00:00:00	53,6	40 (Gut)
01/04/2007	00:00:00	18,2	40 (Gut)
01/05/2007	00:00:00	122,6	40 (Gut)
01/06/2007	00:00:00	188,2	40 (Gut)
01/07/2007	00:00:00	91,6	40 (Gut)
01/08/2007	00:00:00	177,6	40 (Gut)
01/09/2007	00:00:00	48,6	40 (Gut)
01/10/2007	00:00:00	16,0	40 (Gut)
01/11/2007	00:00:00	41,6	40 (Gut)
01/12/2007	00:00:00	3,0	40 (Gut)
01/01/2008	00:00:00	41,4	40 (Gut)
01/02/2008	00:00:00	16,6	40 (Gut)
01/03/2008	00:00:00	41,2	40 (Gut)
01/04/2008	00:00:00	103,8	40 (Gut)
01/05/2008	00:00:00	77,0	40 (Gut)
01/06/2008	00:00:00	181,8	40 (Gut)
01/07/2008	00:00:00	144,6	40 (Gut)
01/08/2008	00:00:00	80,0	40 (Gut)
01/09/2008	00:00:00	49,8	40 (Gut)
01/10/2008	00:00:00	108,8	40 (Gut)
01/11/2008	00:00:00	98,6	80 (Ersatzwert)
01/12/2008	00:00:00	81,0	80 (Ersatzwert)
01/01/2009	00:00:00	30,4	40 (Gut)
01/02/2009	00:00:00	34,6	80 (Ersatzwert)
01/03/2009	00:00:00	42,6	40 (Gut)
01/04/2009	00:00:00	47,0	40 (Gut)
01/05/2009	00:00:00	23,6	40 (Gut)
01/06/2009	00:00:00	128,4	40 (Gut)
01/07/2009	00:00:00	107,6	40 (Gut)
01/08/2009	00:00:00	136,2	40 (Gut)
01/09/2009	00:00:00	79,4	40 (Gut)
01/10/2009	00:00:00	33,2	40 (Gut)
01/11/2009	00:00:00	48,0	80 (Ersatzwert)
01/12/2009	00:00:00	136,0	40 (Gut)
01/01/2010	00:00:00	10,6	40 (Gut)
01/02/2010	00:00:00	24,6	40 (Gut)
01/03/2010	00:00:00	38,6	40 (Gut)
01/04/2010	00:00:00	24,2	40 (Gut)
01/05/2010	00:00:00	120,2	40 (Gut)
01/06/2010	00:00:00	85,8	40 (Gut)
01/07/2010	00:00:00	124,2	40 (Gut)
01/08/2010	00:00:00	169,0	40 (Gut)
01/09/2010	00:00:00	141,6	40 (Gut)
01/10/2010	00:00:00	56,1	40 (Gut)
01/11/2010	00:00:00	71,6	40 (Gut)
01/12/2010	00:00:00	82,6	40 (Gut)
01/01/2011	00:00:00	12,8	40 (Gut)
01/02/2011	00:00:00	9,7	40 (Gut)
01/03/2011	00:00:00	23,0	40 (Gut)
01/04/2011	00:00:00	23,4	40 (Gut)
01/05/2011	00:00:00	166,3	40 (Gut)
01/06/2011	00:00:00	241,3	40 (Gut)
01/07/2011	00:00:00	193,0	40 (Gut)
01/08/2011	00:00:00	110,6	40 (Gut)
01/09/2011	00:00:00	159,7	40 (Gut)
01/10/2011	00:00:00	98,2	40 (Gut)
01/11/2011	00:00:00	7,4	40 (Gut)
01/12/2011	00:00:00	35,4	40 (Gut)
01/01/2012	00:00:00	36,7	40 (Gut)
01/02/2012	00:00:00	11,0	40 (Gut)
01/03/2012	00:00:00	33,0	40 (Gut)
01/04/2012	00:00:00	100,3	40 (Gut)
01/05/2012	00:00:00	83,7	40 (Gut)
01/06/2012	00:00:00	139,6	40 (Gut)
01/07/2012	00:00:00	199,6	40 (Gut)
01/08/2012	00:00:00	182,1	40 (Gut)
01/09/2012	00:00:00	142,2	40 (Gut)
01/10/2012	00:00:00	120,9	40 (Gut)
01/11/2012	00:00:00	236,3	40 (Gut)
01/12/2012	00:00:00	35,3	40 (Gut)
01/01/2013	00:00:00	31,6	40 (Gut)
01/02/2013	00:00:00	32,8	40 (Gut)
01/03/2013	00:00:00	98,9	40 (Gut)
01/04/2013	00:00:00	49,0	40 (Gut)
01/05/2013	00:00:00	149,3	40 (Gut)
01/06/2013	00:00:00	134,1	40 (Gut)
01/07/2013	00:00:00	137,4	40 (Gut)
01/08/2013	00:00:00	170,6	40 (Gut)
01/09/2013	00:00:00	75,4	40 (Gut)
01/10/2013	00:00:00	154,3	40 (Gut)
01/11/2013	00:00:00	95,1	40 (Gut)
