Datetime CET,Temp [°C],humidity [%],wind direction [°],wind speed [m/s]
2015-10-01 00:00:00,-8.5,97.2,129.3,3.1
2015-10-01 01:00:00,-8.4,96.9,137.3,3.9
2015-10-01 02:00:00,-8.4,96.7,128.0,2.6
2015-10-01 03:00:00,-8.3,96.8,124.0,2.8
2015-10-01 04:00:00,-8.2,97.0,132.3,2.6
2015-10-01 05:00:00,-8.0,97.3,141.0,2.5
2015-10-01 06:00:00,-8.0,97.6,145.8,2.5
2015-10-01 07:00:00,-7.7,98.0,148.0,1.4
2015-10-01 08:00:00,-7.3,98.7,143.0,1.2
2015-10-01 09:00:00,-6.4,99.6,156.5,0.8
2015-10-01 10:00:00,-5.7,99.7,156.5,0.6
2015-10-01 11:00:00,-4.9,99.8,166.2,0.7
2015-10-01 12:00:00,-3.8,100.0,155.3,0.5
2015-10-01 13:00:00,-3.0,100.1,169.0,0.1
2015-10-01 14:00:00,-2.7,100.1,146.3,0.4
2015-10-01 15:00:00,-2.2,100.1,162.2,1.5
2015-10-01 16:00:00,-2.0,100.1,153.2,2.3
2015-10-01 17:00:00,-2.3,99.9,146.2,3.6
2015-10-01 18:00:00,-3.1,99.9,144.7,5.4
2015-10-01 19:00:00,-3.3,100.0,146.0,6.4
2015-10-01 20:00:00,-2.6,100.1,153.0,4.3
2015-10-01 21:00:00,-1.2,100.3,149.2,6.5
2015-10-01 22:00:00,-2.3,100.2,149.0,5.0
2015-10-01 23:00:00,-1.9,100.2,166.3,4.7
2015-10-02 00:00:00,-1.9,100.3,154.5,4.9
2015-10-02 01:00:00,-1.6,100.3,152.5,4.8
2015-10-02 02:00:00,-1.0,100.3,156.3,4.8
2015-10-02 03:00:00,-0.4,100.5,156.3,5.2
2015-10-02 04:00:00,-0.2,100.5,145.8,5.8
2015-10-02 05:00:00,-0.1,100.4,147.3,7.1
2015-10-02 06:00:00,0.2,100.4,150.0,6.4
2015-10-02 07:00:00,0.1,100.5,151.7,6.8
2015-10-02 08:00:00,-0.3,100.5,156.7,7.9
2015-10-02 09:00:00,0.2,100.6,162.5,7.5
2015-10-02 10:00:00,0.4,100.6,165.8,6.4
2015-10-02 11:00:00,0.8,100.7,172.7,5.4
2015-10-02 12:00:00,0.5,100.7,174.8,5.0
2015-10-02 13:00:00,0.6,100.6,172.5,5.4
2015-10-02 14:00:00,0.9,100.5,173.0,5.5
2015-10-02 15:00:00,0.8,100.7,170.5,5.0
2015-10-02 16:00:00,0.7,100.7,171.3,6.8
2015-10-02 17:00:00,0.7,100.7,169.3,6.3
2015-10-02 18:00:00,0.5,100.7,163.8,6.1
2015-10-02 19:00:00,0.4,100.6,158.8,6.2
2015-10-02 20:00:00,0.2,100.6,171.2,6.8
2015-10-02 21:00:00,0.2,100.6,159.8,5.3
2015-10-02 22:00:00,0.0,100.6,169.8,4.2
2015-10-02 23:00:00,-0.2,100.6,165.2,3.5
2015-10-03 00:00:00,-0.1,100.6,171.5,4.2
2015-10-03 01:00:00,-0.2,100.6,176.0,3.8
2015-10-03 02:00:00,-0.2,100.6,172.5,4.1
2015-10-03 03:00:00,-0.3,100.6,163.8,1.0
2015-10-03 04:00:00,-0.4,100.6,173.5,3.8
2015-10-03 05:00:00,-0.4,100.6,178.8,3.4
2015-10-03 06:00:00,-1.1,100.6,173.8,4.1
2015-10-03 07:00:00,-1.5,100.5,172.0,2.9
2015-10-03 08:00:00,-1.4,100.6,186.0,2.6
2015-10-03 09:00:00,-0.9,100.6,177.0,2.1
2015-10-03 10:00:00,-0.2,100.7,165.8,0.9
2015-10-03 11:00:00,-0.1,100.8,179.7,1.5
2015-10-03 12:00:00,-0.2,100.8,172.0,3.3
2015-10-03 13:00:00,-0.1,100.8,194.2,3.1
2015-10-03 14:00:00,-0.6,100.7,202.2,4.0
2015-10-03 15:00:00,-0.8,100.7,209.3,5.5
2015-10-03 16:00:00,-0.6,100.7,205.7,2.5
2015-10-03 17:00:00,-0.6,100.7,208.8,3.3
2015-10-03 18:00:00,-0.9,100.6,212.7,4.3
2015-10-03 19:00:00,-1.6,100.5,208.7,4.7
2015-10-03 20:00:00,-1.8,100.5,211.5,4.3
2015-10-03 21:00:00,-2.3,100.5,211.0,3.9
2015-10-03 22:00:00,-2.5,100.4,213.2,3.4
2015-10-03 23:00:00,-2.6,100.4,216.5,5.0
2015-10-04 00:00:00,-2.5,100.4,216.2,4.9
2015-10-04 01:00:00,-2.2,100.4,210.5,5.6
2015-10-04 02:00:00,-1.7,100.4,205.7,4.7
