Datetime CET,Temp [°C],Snow height [cm],humidity [%],wind direction [°],wind speed [m/s]
2015-10-01 00:00:00,-5.2,-5.0,92.2,,
2015-10-01 01:00:00,-5.3,-3.9,94.0,,
2015-10-01 02:00:00,-5.3,-3.2,94.5,,
2015-10-01 03:00:00,-5.1,-3.0,94.4,,
2015-10-01 04:00:00,-4.9,-5.6,94.2,,
2015-10-01 05:00:00,-4.8,-5.8,94.0,,
2015-10-01 06:00:00,-4.7,-3.6,93.9,,
2015-10-01 07:00:00,-4.6,-4.0,93.8,,
2015-10-01 08:00:00,-4.4,-4.3,93.7,,
2015-10-01 09:00:00,-4.0,-1.7,93.6,,
2015-10-01 10:00:00,-3.4,-2.5,94.1,,
2015-10-01 11:00:00,-2.6,-1.4,94.3,,
2015-10-01 12:00:00,-2.0,-4.7,94.5,,
2015-10-01 13:00:00,-1.8,-4.3,94.5,,
2015-10-01 14:00:00,-0.9,-3.6,94.4,,
2015-10-01 15:00:00,0.4,-4.7,92.2,,
2015-10-01 16:00:00,1.1,-3.9,88.7,,
2015-10-01 17:00:00,0.9,-1.8,87.5,,
2015-10-01 18:00:00,0.4,-0.2,88.5,,
2015-10-01 19:00:00,-0.0,-4.5,89.6,,
2015-10-01 20:00:00,0.5,-4.2,85.4,,
2015-10-01 21:00:00,0.8,-1.9,78.2,,
2015-10-01 22:00:00,1.6,-4.4,69.2,,
2015-10-01 23:00:00,1.8,-7.1,67.6,,
2015-10-02 00:00:00,1.7,-7.0,68.8,,
2015-10-02 01:00:00,2.2,-6.9,64.4,,
2015-10-02 02:00:00,2.7,-7.2,64.0,,
2015-10-02 03:00:00,3.1,-6.4,65.1,,
2015-10-02 04:00:00,3.1,-6.5,65.8,,
2015-10-02 05:00:00,3.3,-4.2,65.6,,
2015-10-02 06:00:00,3.5,-4.8,67.4,,
2015-10-02 07:00:00,3.5,-7.3,68.8,,
2015-10-02 08:00:00,3.7,-7.6,67.9,,
2015-10-02 09:00:00,4.2,-7.4,65.5,,
2015-10-02 10:00:00,5.3,-6.4,60.8,,
2015-10-02 11:00:00,5.1,-6.2,61.9,,
2015-10-02 12:00:00,4.5,-5.8,67.0,,
2015-10-02 13:00:00,4.0,-5.3,79.2,,
2015-10-02 14:00:00,3.9,-5.3,79.3,,
2015-10-02 15:00:00,3.9,-4.9,82.6,,
2015-10-02 16:00:00,3.4,-3.7,89.1,,
2015-10-02 17:00:00,4.1,-5.7,84.6,,
2015-10-02 18:00:00,3.0,-6.4,92.4,,
2015-10-02 19:00:00,3.2,-6.6,91.3,,
2015-10-02 20:00:00,3.8,-6.6,85.4,,
2015-10-02 21:00:00,3.0,-7.2,91.8,,
2015-10-02 22:00:00,2.8,-6.6,93.5,,
2015-10-02 23:00:00,2.8,-6.5,94.5,,
2015-10-03 00:00:00,2.9,-4.0,94.5,,
2015-10-03 01:00:00,2.9,-1.7,94.5,,
2015-10-03 02:00:00,3.0,2.7,94.5,,
2015-10-03 03:00:00,2.9,-2.2,94.5,,
2015-10-03 04:00:00,2.9,-4.9,94.5,,
2015-10-03 05:00:00,2.9,-6.5,94.5,,
2015-10-03 06:00:00,2.9,-2.8,94.5,,
2015-10-03 07:00:00,2.9,3.3,92.4,,
2015-10-03 08:00:00,3.1,1.1,85.4,,
2015-10-03 09:00:00,3.1,1.1,87.2,,
2015-10-03 10:00:00,3.2,-2.6,90.5,,
2015-10-03 11:00:00,4.0,-4.1,85.3,,
2015-10-03 12:00:00,4.0,-4.7,87.8,,
2015-10-03 13:00:00,3.7,-2.3,88.5,,
2015-10-03 14:00:00,4.0,-4.0,82.2,,
2015-10-03 15:00:00,3.9,-4.6,86.5,,
2015-10-03 16:00:00,3.5,-4.5,86.4,,
2015-10-03 17:00:00,3.2,-4.0,89.5,,
2015-10-03 18:00:00,2.9,-5.7,90.9,,
2015-10-03 19:00:00,2.9,-2.8,86.9,,
2015-10-03 20:00:00,2.6,-5.3,85.0,,
2015-10-03 21:00:00,2.0,-3.7,88.3,,
2015-10-03 22:00:00,1.7,-2.0,90.8,,
2015-10-03 23:00:00,1.8,-2.2,88.4,,
2015-10-04 00:00:00,1.5,-2.0,86.0,,
2015-10-04 01:00:00,1.6,0.3,85.8,,
2015-10-04 02:00:00,1.4,0.5,90.2,,
2015-10-04 03:00:00,1.9,-1.0,87.1,,
2015-10-04 04:00:00,1.6,3.0,93.8,,
2015-10-04 05:00:00,1.8,-0.7,94.3,,
2015-10-04 06:00:00,1.8,-3.2,93.8,,
2015-10-04 07:00:00,1.7,-0.7,94.5,,
2015-10-04 08:00:00,1.6,0.2,92.6,,
2015-10-04 09:00:00,1.8,-1.1,92.3,,
2015-10-04 10:00:00,1.8,-2.6,93.4,,
2015-10-04 11:00:00,3.0,-4.0,85.9,,
2015-10-04 12:00:00,3.2,-4.1,80.4,,
2015-10-04 13:00:00,3.7,-2.1,76.6,,
2015-10-04 14:00:00,4.0,-3.9,79.1,,
2015-10-04 15:00:00,2.6,-3.5,87.4,,
2015-10-04 16:00:00,1.1,-2.7,93.9,,
2015-10-04 17:00:00,0.1,-4.1,92.6,,
2015-10-04 18:00:00,0.0,-0.4,93.0,,
2015-10-04 19:00:00,-0.3,1.7,94.5,,
2015-10-04 20:00:00,-0.3,-3.4,93.2,,
2015-10-04 21:00:00,-0.4,-3.9,92.8,,
2015-10-04 22:00:00,-0.2,-4.0,87.9,,
2015-10-04 23:00:00,0.1,-1.8,81.1,,
2015-10-05 00:00:00,0.6,-1.8,72.5,,
2015-10-05 01:00:00,0.7,-2.1,70.7,,
2015-10-05 02:00:00,0.8,-1.0,64.8,,
2015-10-05 03:00:00,1.4,-1.5,50.5,,
2015-10-05 04:00:00,1.9,-1.8,41.7,,
2015-10-05 05:00:00,2.2,-2.5,38.9,,
2015-10-05 06:00:00,2.8,-3.3,34.9,,
2015-10-05 07:00:00,3.0,-3.4,33.9,,
2015-10-05 08:00:00,3.2,-3.0,34.1,,
2015-10-05 09:00:00,3.6,-4.6,35.0,,
2015-10-05 10:00:00,5.3,-1.8,33.8,,
2015-10-05 11:00:00,6.1,-4.3,30.8,,
2015-10-05 12:00:00,6.8,-4.4,33.5,,
2015-10-05 13:00:00,7.4,-4.8,34.5,,
2015-10-05 14:00:00,7.8,-4.6,30.4,,
2015-10-05 15:00:00,8.1,-4.6,35.0,,
2015-10-05 16:00:00,7.9,-3.8,39.3,,
2015-10-05 17:00:00,6.8,-4.2,46.1,,
2015-10-05 18:00:00,5.2,-1.9,57.1,,
2015-10-05 19:00:00,4.2,-4.9,66.6,,
2015-10-05 20:00:00,3.8,-4.4,69.0,,
2015-10-05 21:00:00,4.0,-5.0,64.7,,
2015-10-05 22:00:00,4.0,-5.5,67.8,,
2015-10-05 23:00:00,4.0,-5.5,67.4,,
2015-10-06 00:00:00,3.9,-5.2,68.3,,
2015-10-06 01:00:00,3.8,-5.3,70.1,,
2015-10-06 02:00:00,3.5,-4.5,71.5,,
2015-10-06 03:00:00,3.2,-1.9,72.0,,
2015-10-06 04:00:00,3.5,-1.9,72.8,,
2015-10-06 05:00:00,3.6,-1.5,71.2,,
2015-10-06 06:00:00,3.8,-2.3,70.8,,
2015-10-06 07:00:00,3.2,-6.4,77.4,,
2015-10-06 08:00:00,3.2,-6.3,79.0,,
2015-10-06 09:00:00,4.2,-6.7,75.1,,
2015-10-06 10:00:00,5.2,-7.3,72.7,,
2015-10-06 11:00:00,5.4,-6.8,76.3,,
2015-10-06 12:00:00,5.6,-6.9,75.1,,
2015-10-06 13:00:00,5.5,-6.7,80.9,,
2015-10-06 14:00:00,5.0,-6.5,86.0,,
2015-10-06 15:00:00,5.1,-6.5,89.2,,
2015-10-06 16:00:00,4.3,-6.7,92.9,,
2015-10-06 17:00:00,4.9,-3.4,93.9,,
2015-10-06 18:00:00,4.8,-0.2,93.4,,
2015-10-06 19:00:00,4.0,-2.1,93.9,,
2015-10-06 20:00:00,4.4,-1.1,91.8,,
2015-10-06 21:00:00,4.1,0.2,94.5,,
2015-10-06 22:00:00,4.3,-0.2,94.5,,
2015-10-06 23:00:00,4.4,-1.8,93.0,,
2015-10-07 00:00:00,4.1,-5.7,94.4,,
2015-10-07 01:00:00,4.1,-4.3,94.5,,
2015-10-07 02:00:00,4.1,1.2,94.5,,
